variant,lgbm,xgb,cat,mean,worst,recent,2016_may_aug,2016_sep_dec,2017_jan_apr
add_assigned_lab,2,2,1,0.9178424761455451,0.9155086371802708,0.9155086371802708,0.9200673826769459,0.9179514085794187,0.9155086371802708
add_assigned_lab,2,2,2,0.9180491374089664,0.9154664423870537,0.9154664423870537,0.9206970827451115,0.9179838870947343,0.9154664423870537
add_assigned_lab,2,2,3,0.9179761611892161,0.9152529391566228,0.9152529391566228,0.9209257610647661,0.9177497833462595,0.9152529391566228
add_assigned_lab,2,2,4,0.9178117081343026,0.915011189950115,0.915011189950115,0.9209883706978691,0.9174355637549236,0.915011189950115
add_assigned_lab,2,3,0,0.9169567464696676,0.9151245373415136,0.9151245373415136,0.9185797175908076,0.9171659844766814,0.9151245373415136
add_assigned_lab,2,3,1,0.9177804018452683,0.9154880547237086,0.9154880547237086,0.9199813911493744,0.917871759662722,0.9154880547237086
add_assigned_lab,2,3,2,0.9180592845007617,0.9155113633334577,0.9155113633334577,0.920627657809133,0.9180388323596944,0.9155113633334577
add_assigned_lab,2,3,3,0.9180791977315264,0.9153717994355772,0.9153717994355772,0.9209291422181366,0.9179366515408651,0.9153717994355772
add_assigned_lab,2,3,4,0.9179881561994705,0.9151886776678863,0.9151886776678863,0.9210588661557615,0.9177169247747635,0.9151886776678863
add_assigned_lab,2,4,0,0.9169223828802296,0.9150983511256227,0.9150983511256227,0.9185887057351907,0.9170800917798757,0.9150983511256227
add_assigned_lab,2,4,1,0.9176675951954246,0.9154264588069773,0.9154264588069773,0.9198404426304974,0.9177358841487993,0.9154264588069773
add_assigned_lab,2,4,2,0.9179931533560137,0.9155040481557393,0.9155040481557393,0.9205042404114943,0.9179711715008075,0.9155040481557393
add_assigned_lab,2,4,3,0.9180819728791273,0.9154280490630029,0.9154280490630029,0.9208410732420992,0.9179767963322798,0.9154280490630029
add_assigned_lab,2,4,4,0.9180571391781324,0.9152970271117752,0.9152970271117752,0.9210281813939815,0.9178462090286407,0.9152970271117752
add_assigned_lab,3,0,1,0.9165706690598082,0.9148138013140785,0.9148138013140785,0.9183545688136998,0.9165436370516467,0.9148138013140785
add_assigned_lab,3,0,2,0.9171120249197693,0.9149421576933012,0.9149421576933012,0.9195060794197525,0.9168878376462543,0.9149421576933012
add_assigned_lab,3,0,3,0.9171647401552878,0.9148017759494645,0.9148017759494645,0.9199336522315654,0.9167587922848335,0.9148017759494645
add_assigned_lab,3,0,4,0.9170697023547433,0.9145830930279784,0.9145830930279784,0.9200989365753288,0.9165270774609223,0.9145830930279784
add_assigned_lab,3,1,0,0.9161422393782278,0.9146378887070378,0.9146378887070378,0.9173524225126561,0.9164364069149897,0.9146378887070378
add_assigned_lab,3,1,1,0.9173180345797421,0.9152515154988472,0.9152515154988472,0.9192639188835233,0.9174386693568563,0.9152515154988472
add_assigned_lab,3,1,2,0.9176560785224663,0.9153079923057053,0.9153079923057053,0.9200746007504422,0.9175856425112514,0.9153079923057053
add_assigned_lab,3,1,3,0.917683546445089,0.9151779699439794,0.9151779699439794,0.920426431487064,0.9174462379042234,0.9151779699439794
add_assigned_lab,3,1,4,0.9175798309553143,0.9149776128300281,0.9149776128300281,0.9205593775896561,0.9172025024462587,0.9149776128300281
add_assigned_lab,3,2,0,0.9167096626340904,0.9149841404523814,0.9149841404523814,0.918137867620405,0.9170069798294846,0.9149841404523814
add_assigned_lab,3,2,1,0.9175780718756377,0.9154085722130111,0.9154085722130111,0.9195871423068309,0.917738501107071,0.9154085722130111
add_assigned_lab,3,2,2,0.9178989145779038,0.9154740150347954,0.9154740150347954,0.9203099989799304,0.9179127297189861,0.9154740150347954
add_assigned_lab,3,2,3,0.9179324707647467,0.9153594560197582,0.9153594560197582,0.9206294596777005,0.9178084965967817,0.9153594560197582
add_assigned_lab,3,2,4,0.917866284463393,0.9152037169463014,0.9152037169463014,0.9207879393178151,0.9176071971260629,0.9152037169463014
add_assigned_lab,3,3,0,0.9169026171826872,0.9151006986464225,0.9151006986464225,0.9184574131119898,0.9171497397896495,0.9151006986464225
add_assigned_lab,3,3,1,0.9176388031283763,0.9154306540538262,0.9154306540538262,0.9196829487184814,0.9178028066128211,0.9154306540538262
